,Game of Throws_VS_Kindha's Disappointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Chris Tran,Pass,Sebastien Belanger,Pass,Christine Beals,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Celine Dumais,Pass,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Nick Vetvut,Pass,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Matt Masse,Pass,James King,Pass,Celine Dumais,Pass,Matt Masse,Pass,Cassandra Cheung,Pass,Celine Dumais,Pass,Mark Donahue,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Sebastien Belanger,Pass,Edwin Wong,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Will Leckie,Pass,Mark Donahue,Pass,Will Leckie,Pass,Sandra Hanson,Pass,Kirsten Querbach,Pass,Christopher Kraft,Pass,Patrick Gauvin,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Nick Vetvut,Pass,Sebastien Belanger,Pass,Chris Tran,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,James King,Pass,Al Colantonio,Pass,Cassandra Cheung,Pass,James King,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Nick Vetvut,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kirsten Querbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,Pass,Kirsten Querbach,Pass,Christopher Kraft,Pass,Mark Donahue,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kevin Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,Pass,Edwin Wong,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Edwin Wong,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Kevin Hughes,Pass,Edwin Wong,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Sebastien Belanger,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Cassandra Cheung,Pass,Mark Donahue,Pass,Will Leckie,Pass,Kirsten Querbach,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,James King,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kyle Sprysa,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kirsten Querbach,Pass,Sandra Hanson,Pass,James King,Pass,Christopher Kraft,Pass,Sandra Hanson,Pass,Kirsten Querbach,Pass,Will Leckie,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Mark Donahue,Pass,Al Colantonio,Pass,Matt Masse,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher LaFleur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Mark Donahue,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Kyle Sprysa,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,Pass,Sandra Hanson,Pass,Christopher Kraft,Pass,James King,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Christine Beals,Pass,Kyle Sprysa,Pass,Sebastien Belanger,Pass,Christine Beals,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sides,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Justine Price,Pass,Christopher LaFleur,Pass,Justine Price,Pass,Chris Tran,Pass,Christopher LaFleur,Pass,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Will Leckie,Pass,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
